gyroX, -479.74, gyroY, -693.85, gyroZ, 246.83, accX, -4.14, accY, 0.79, accZ, -4.50, Pitch, 49.31, Roll, 129.88, Yaw, -20.53
gyroX, 210.27, gyroY, 996.09, gyroZ, 291.56, accX, -2.06, accY, -1.86, accZ, -0.17, Pitch, 70.93, Roll, 121.36, Yaw, -29.02
gyroX, 102.42, gyroY, 979.86, gyroZ, 185.24, accX, -1.32, accY, -1.46, accZ, 1.06, Pitch, 17.92, Roll, -14.73, Yaw, -161.13
gyroX, 49.32, gyroY, 16.97, gyroZ, 119.75, accX, -0.72, accY, -0.51, accZ, 1.64, Pitch, 49.42, Roll, 137.41, Yaw, -14.85
gyroX, -35.52, gyroY, 341.19, gyroZ, 5.62, accX, -0.14, accY, -0.65, accZ, 0.96, Pitch, -39.20, Roll, 53.47, Yaw, 85.84
gyroX, 151.67, gyroY, 709.59, gyroZ, 36.99, accX, -0.12, accY, -0.08, accZ, 0.26, Pitch, -17.82, Roll, 137.04, Yaw, -59.74
gyroX, 62.68, gyroY, 285.28, gyroZ, 71.96, accX, -0.26, accY, 0.01, accZ, 0.79, Pitch, 24.01, Roll, 54.33, Yaw, -184.38
gyroX, -334.23, gyroY, -54.38, gyroZ, -31.01, accX, -0.08, accY, -1.83, accZ, 1.79, Pitch, 11.27, Roll, -139.32, Yaw, -172.01
gyroX, -279.85, gyroY, -529.91, gyroZ, -11.11, accX, 0.80, accY, -5.14, accZ, 2.20, Pitch, 38.65, Roll, -9.90, Yaw, 70.06
gyroX, 151.98, gyroY, -568.60, gyroZ, -99.06, accX, 0.64, accY, -1.21, accZ, -0.26, Pitch, -9.56, Roll, 170.76, Yaw, -70.47
gyroX, -54.93, gyroY, -198.61, gyroZ, -104.98, accX, 0.06, accY, -2.57, accZ, 0.10, Pitch, 68.91, Roll, -77.02, Yaw, 56.47
gyroX, -204.53, gyroY, -365.48, gyroZ, -121.58, accX, -0.91, accY, -1.67, accZ, -0.12, Pitch, -2.01, Roll, -140.87, Yaw, -137.96
gyroX, -83.44, gyroY, 963.26, gyroZ, -139.71, accX, -0.63, accY, -0.18, accZ, -1.51, Pitch, -54.78, Roll, -81.08, Yaw, 169.01
gyroX, 10.86, gyroY, -302.43, gyroZ, -155.46, accX, -0.17, accY, 0.07, accZ, 0.50, Pitch, -16.77, Roll, 166.59, Yaw, -74.38
gyroX, -106.75, gyroY, 43.27, gyroZ, -125.92, accX, -0.22, accY, -0.42, accZ, 0.58, Pitch, 0.10, Roll, 135.33, Yaw, -41.76
gyroX, -5.37, gyroY, -80.57, gyroZ, -155.58, accX, -0.37, accY, -0.30, accZ, 0.47, Pitch, 40.53, Roll, 130.28, Yaw, -19.29
gyroX, 36.93, gyroY, -108.03, gyroZ, -90.76, accX, -0.24, accY, -0.22, accZ, 0.26, Pitch, 84.27, Roll, 18.01, Yaw, -140.48
gyroX, -2.38, gyroY, -199.40, gyroZ, -88.75, accX, -0.29, accY, -0.46, accZ, 0.10, Pitch, 7.54, Roll, -38.74, Yaw, 170.16
gyroX, 220.89, gyroY, -275.76, gyroZ, -202.45, accX, -1.54, accY, -2.74, accZ, -0.34, Pitch, -75.66, Roll, -19.59, Yaw, -177.61
gyroX, 392.33, gyroY, -458.19, gyroZ, -98.08, accX, -2.17, accY, -4.92, accZ, -1.49, Pitch, -29.37, Roll, -157.33, Yaw, 24.87
gyroX, 61.10, gyroY, -0.79, gyroZ, 567.75, accX, -0.47, accY, -0.68, accZ, 0.61, Pitch, 14.05, Roll, -6.20, Yaw, 56.89
