gyroX, -6.35, gyroY, 14.47, gyroZ, -0.18, accX, -0.11, accY, -0.96, accZ, -0.18, Pitch, 1.65, Roll, -110.95, Yaw, -4.57
gyroX, -11.66, gyroY, 2.56, gyroZ, -2.75, accX, -0.12, accY, -0.95, accZ, -0.20, Pitch, 2.52, Roll, -111.18, Yaw, -4.31
gyroX, -14.53, gyroY, 16.60, gyroZ, -1.71, accX, -0.14, accY, -0.97, accZ, -0.18, Pitch, 1.68, Roll, -112.61, Yaw, -9.29
gyroX, -15.08, gyroY, 10.56, gyroZ, -5.25, accX, -0.13, accY, -0.96, accZ, -0.12, Pitch, 0.23, Roll, -112.26, Yaw, -17.00
gyroX, -12.88, gyroY, 1.53, gyroZ, -6.65, accX, -0.11, accY, -0.96, accZ, -0.13, Pitch, -0.45, Roll, -111.32, Yaw, -22.13
gyroX, -13.98, gyroY, -4.94, gyroZ, -7.51, accX, -0.10, accY, -0.97, accZ, -0.14, Pitch, 0.42, Roll, -111.42, Yaw, -18.54
gyroX, -13.79, gyroY, -9.52, gyroZ, -7.69, accX, -0.08, accY, -0.98, accZ, -0.11, Pitch, 0.93, Roll, -111.57, Yaw, -16.00
gyroX, -14.40, gyroY, -11.47, gyroZ, -7.69, accX, -0.11, accY, -0.97, accZ, -0.12, Pitch, 1.62, Roll, -111.68, Yaw, -11.41
gyroX, -12.76, gyroY, -27.59, gyroZ, -10.01, accX, -0.10, accY, -0.96, accZ, -0.13, Pitch, 3.36, Roll, -111.00, Yaw, 0.35
gyroX, -14.53, gyroY, -30.76, gyroZ, -9.34, accX, -0.11, accY, -1.02, accZ, -0.11, Pitch, 5.68, Roll, -110.11, Yaw, 18.49
gyroX, -15.08, gyroY, -22.83, gyroZ, -8.36, accX, -0.11, accY, -0.98, accZ, -0.15, Pitch, 5.96, Roll, -109.90, Yaw, 29.99
gyroX, -15.50, gyroY, -18.62, gyroZ, -7.63, accX, -0.10, accY, -0.97, accZ, -0.15, Pitch, 5.84, Roll, -110.18, Yaw, 36.06
gyroX, -15.26, gyroY, -26.31, gyroZ, -7.93, accX, -0.11, accY, -0.98, accZ, -0.14, Pitch, 5.79, Roll, -110.48, Yaw, 46.99
gyroX, -14.89, gyroY, -26.00, gyroZ, -7.51, accX, -0.10, accY, -0.99, accZ, -0.10, Pitch, 6.55, Roll, -109.67, Yaw, 58.01
