gyroX, 36.93, gyroY, 137.15, gyroZ, 9.40, accX, 0.01, accY, -0.93, accZ, -0.11, Pitch, 1.00, Roll, -56.99, Yaw, -23.21
gyroX, 17.46, gyroY, 274.23, gyroZ, -37.48, accX, -0.16, accY, -1.24, accZ, -0.06, Pitch, 22.48, Roll, -85.42, Yaw, -114.57
gyroX, 46.20, gyroY, 96.56, gyroZ, -44.62, accX, -0.42, accY, -1.11, accZ, -0.04, Pitch, 6.80, Roll, -84.39, Yaw, -173.09
gyroX, 49.87, gyroY, 308.96, gyroZ, -10.25, accX, -0.81, accY, -1.42, accZ, -0.18, Pitch, -9.12, Roll, -86.54, Yaw, 47.27
gyroX, 138.43, gyroY, 324.71, gyroZ, 14.53, accX, -0.49, accY, -1.25, accZ, -0.11, Pitch, 42.63, Roll, -90.50, Yaw, -108.44
gyroX, 33.14, gyroY, 530.52, gyroZ, 8.00, accX, -0.42, accY, -0.96, accZ, -0.17, Pitch, -9.98, Roll, -85.52, Yaw, 2.62
gyroX, 35.16, gyroY, 487.61, gyroZ, 6.04, accX, 1.01, accY, -1.39, accZ, -0.79, Pitch, -0.41, Roll, -87.17, Yaw, 16.56
gyroX, -93.32, gyroY, 251.59, gyroZ, -90.76, accX, -0.82, accY, -1.49, accZ, 0.29, Pitch, -26.37, Roll, -93.69, Yaw, -53.43
gyroX, -138.37, gyroY, 269.41, gyroZ, -123.41, accX, -0.60, accY, -0.89, accZ, -0.04, Pitch, -19.80, Roll, -73.77, Yaw, 126.09
gyroX, -147.28, gyroY, 138.55, gyroZ, -75.68, accX, -0.55, accY, -1.06, accZ, 0.02, Pitch, -34.56, Roll, -100.96, Yaw, 36.32
gyroX, -104.80, gyroY, 49.99, gyroZ, -45.04, accX, -0.32, accY, -0.64, accZ, 0.48, Pitch, -45.48, Roll, -109.08, Yaw, -2.44
gyroX, -82.76, gyroY, 104.00, gyroZ, -13.79, accX, -0.20, accY, -0.66, accZ, 0.45, Pitch, -46.93, Roll, -96.24, Yaw, -47.85
gyroX, -128.60, gyroY, 161.87, gyroZ, -12.70, accX, -0.18, accY, -0.75, accZ, 0.20, Pitch, -17.36, Roll, -85.11, Yaw, -166.09
gyroX, -10.99, gyroY, -356.32, gyroZ, 41.87, accX, -0.09, accY, -1.33, accZ, -0.37, Pitch, -32.64, Roll, -122.44, Yaw, 133.04
